Player,Pos,G,MP,FGA,3PA,3P%
,,,,,,
Tracy McGrady,SG,67,39.9,23.4,7.7,0.339
Allen Iverson,SG,48,42.5,23.4,4.1,0.286
Kevin Garnett,PF,82,39.4,19.6,0.5,0.256
Peja Stojaković,SF,81,40.3,17.1,6.8,0.433
Kobe Bryant,SG,65,37.6,18.1,3.3,0.327
Ray Allen,SG,56,38.4,18.2,6.8,0.392
Paul Pierce,SG,80,38.7,18.7,4.8,0.299
Baron Davis,PG,67,40.1,20.9,8.7,0.321
Vince Carter,SG,73,38.2,20,3.3,0.383
Tim Duncan,PF,69,36.6,17.1,0.2,0.167
Dirk Nowitzki,C,77,37.9,17,3.8,0.341
Michael Redd,SG,82,36.8,17.5,4.4,0.35
Shaquille O'Neal,C,67,36.8,14.1,0,0
Carmelo Anthony,SF,82,36.5,17.9,2.6,0.322
LeBron James,SG,79,39.5,18.9,2.7,0.29
Jamal Mashburn,SF,19,38.4,20.9,3.5,0.284
Corey Maggette,SF,73,36,13.9,3.2,0.329
Amar'e Stoudemire,PF,55,36.8,15.7,0.1,0.2
Stephon Marbury,PG,81,40.2,17.1,3.4,0.318
Jermaine O'Neal,PF,78,35.7,17.9,0.2,0.111
Zach Randolph,PF,81,37.9,16.9,0.1,0.2
Elton Brand,PF,69,38.7,14.2,0,0
Sam Cassell,PG,81,35,15.7,2.3,0.398
Gilbert Arenas,PG,55,37.6,16.6,6.1,0.375
Shawn Marion,SF,79,40.7,17,3.4,0.34
Larry Hughes,SG,61,33.8,16.5,3.8,0.341
Jason Richardson,SG,78,37.6,16.5,3.5,0.282
Chris Webber,PF,23,36.1,18.3,0.2,0.2
Michael Finley,SG,72,38.6,16.1,5.1,0.405
Allan Houston,SG,50,36,15.6,4,0.431
Richard Jefferson,SF,82,38.2,13.6,1.6,0.364
Mike Bibby,PG,82,36.3,14.3,4.6,0.392
Metta World Peace,SF,73,37.2,15.2,3.3,0.31
Stephen Jackson,SF,80,36.8,15.8,5.3,0.34
Rashard Lewis,SF,80,36.6,15.4,4.8,0.376
Pau Gasol,PF,78,31.5,13.4,0.2,0.267
Richard Hamilton,SG,78,35.5,14.9,0.9,0.265
Yao Ming,C,82,32.8,12.5,0,0
Jamal Crawford,SG,80,35.1,16.5,6.5,0.317
Eddie Jones,SG,81,37,14.3,5.9,0.37
Quentin Richardson,SG,65,36,16.4,5.2,0.352
Lamar Odom,PF,80,37.5,14.1,2.6,0.298
Juwan Howard,PF,81,35.5,14.4,0,0
Chauncey Billups,PG,78,35.4,12.8,4.3,0.388
Latrell Sprewell,SF,82,37.8,15.4,3.6,0.331
Jason Terry,PG,81,37.3,14.8,5.2,0.347
Joe Johnson,SG,82,40.6,15.7,3.3,0.305
Kenyon Martin,PF,65,34.6,13.8,0.4,0.28
Steve Francis,PG,79,40.4,14.1,3.2,0.292
Glenn Robinson,SF,42,31.8,14.6,2.4,0.34
Andrei Kirilenko,PF,78,37.1,11.9,2.6,0.338
Shareef Abdur-Rahim,PF,85,31.6,12.4,0.4,0.265
Matt Harpring,SF,31,36.6,13.2,1.1,0.242
Dwyane Wade,PG,61,34.9,13.1,0.9,0.302
Keith Van Horn,SF,72,32.5,12.5,3.2,0.399
Rasheed Wallace,PF,68,35.1,14.3,3.6,0.331
Cuttino Mobley,SG,80,40.4,13.5,5.3,0.39
Jalen Rose,SF,66,37.8,14.4,3.1,0.342
Carlos Boozer,PF,75,34.6,12,0.1,0.167
Jason Kidd,PG,67,36.6,14.3,4.4,0.321
Zydrunas Ilgauskas,C,81,31.3,11.9,0.1,0.286
Antawn Jamison,SF,82,29,11.1,0.5,0.4
Andre Miller,PG,82,34.6,11.5,0.8,0.185
Donyell Marshall,PF,82,36.4,12.4,4,0.403
Tim Thomas,SF,66,31.7,12.3,2.9,0.376
Eddy Curry,PF,73,29.5,11.5,0,1
Tony Parker,PG,75,34.4,12.6,2.7,0.312
Gary Payton,PG,82,34.5,12.5,2,0.333
Steve Nash,PG,78,33.5,10.8,3.3,0.405
Ricky Davis,SF,79,31.3,12,1.8,0.371
Desmond Mason,SF,82,30.9,10.6,0.5,0.231
Voshon Lenard,SG,73,30.6,12.8,4,0.367
Brad Miller,PF,72,36.4,10.2,0.5,0.316
Antoine Walker,PF,82,34.6,13.8,3.7,0.269
David Wesley,SG,61,32.8,13.1,4.7,0.323
Jerry Stackhouse,SF,26,29.8,12.3,2.5,0.354
Bobby Jackson,SG,50,23.7,11.8,4.4,0.37
James Posey,SG,82,29.9,9.4,3.5,0.386
Derek Anderson,SG,51,35.5,12,5.1,0.305
Jamaal Magloire,C,82,33.9,9.9,0,0
Kenny Thomas,PF,74,36.5,11,0.1,0.2
Damon Stoudamire,PG,82,38,12.4,5.2,0.365
Al Harrington,PF,79,30.9,11.5,1,0.273
Karl Malone,PF,42,32.7,9.5,0,0
Kerry Kittles,SG,82,34.7,11.7,3.4,0.351
Jim Jackson,SF,80,39,11.3,5.1,0.4
Manu Ginóbili,SG,77,29.4,10.2,3.2,0.359
Carlos Arroyo,PG,71,28.3,10.8,1.6,0.325
Nick Van Exel,PG,39,32.2,12.3,3.8,0.307
Ronald Murray,PG,82,24.6,11.2,2.8,0.293
Erick Dampier,C,74,32.5,8.8,0,0
Bonzi Wells,SG,72,26,11.8,1,0.319
Kirk Hinrich,PG,76,35.6,10.8,4.9,0.39
Vladimir Radmanović,PF,77,30.1,10.5,4.9,0.371
Jeff McInnis,PG,70,33.8,10.7,1.8,0.362
Nenê,PF,77,32.5,8.2,0,0
Clifford Robinson,PF,82,34.7,11.5,3.8,0.357
Mike Dunleavy,SF,75,31.1,9.6,3.4,0.37
Drew Gooden,PF,79,27,10.5,0.5,0.214
Chris Bosh,C,75,33.5,9.5,0.2,0.357
Maurice Taylor,PF,75,27.7,10.2,0,0
DeShawn Stevenson,SF,80,30.6,10.9,0.9,0.268
Gordan Giriček,SF,73,28,9.9,2.1,0.395
Jason Collier,C,20,27.3,8.3,0.2,0.25
