Player,Pos,G,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
,,,,,,,,,,,
Mikal Bridges,SF,82,0.391,2.7,7,4.9,14.4,1.2,1.3,9.7,19.6
Josh Hart,SG,77,0.327,6.4,22.6,14.6,20.7,2,0.9,15.5,15.3
Anthony Edwards,SG,79,0.503,2.4,14.8,8.7,20.9,1.6,1.7,12,31.4
Devin Booker,SG,75,0.388,3.1,8.9,6.1,30.6,1.2,0.5,11.9,29.3
James Harden,PG,79,0.516,2.3,16.1,9.3,36.8,2.1,2,18,29.6
DeMar DeRozan,SF,77,0.196,2,10.1,6,18.7,1.1,1.1,6.5,25
Trae Young,PG,76,0.467,1.4,8.2,4.7,46.4,1.6,0.4,17.9,29.6
Tyler Herro,SG,77,0.486,1.4,14.6,8.1,26.2,1.3,0.6,11.5,28
OG Anunoby,PF,74,0.448,4.2,11,7.6,8.5,2,2.2,8.3,19.7
Jalen Green,SG,82,0.46,1.7,13.4,7.4,16,1.3,0.9,11.4,27.3
Christian Braun,SG,79,0.273,4.2,12.2,8.4,10.1,1.5,1.2,8.1,15.8
Bam Adebayo,C,78,0.199,7.7,23.1,15.5,20,1.8,1.9,11.4,23.5
Ivica Zubac,C,80,0,13.1,30.2,21.8,12.8,1,3.4,10.8,19.5
Jayson Tatum,PF,72,0.497,2,23.7,12.9,27,1.5,1.3,11.2,31.2
Jaden McDaniels,PF,82,0.363,5.6,14.2,10,9,2.1,2.6,9.6,16.3
Keegan Murray,PF,76,0.548,6.3,15.5,10.9,5.6,1.1,2.6,6.6,15
Zach LaVine,SG,74,0.438,0.9,12,6.5,18.3,1.1,0.4,13.4,25.3
Shai Gilgeous-Alexander,PG,76,0.263,2.8,12.6,7.8,31.3,2.4,3,8.6,34.8
Michael Porter Jr.,SF,77,0.467,6.1,16.2,11.4,8.7,0.9,1.3,8.4,20.2
Derrick White,SG,76,0.721,2.8,11.5,7.2,20.2,1.4,2.9,11.3,19.8
Dyson Daniels,SG,76,0.255,5.1,14.2,9.6,17.9,4.2,2,13.6,18.2
Nikola Jokić,C,70,0.243,9,28.2,19.1,44.1,2.4,1.6,12.8,29.5
Austin Reaves,SG,73,0.512,2.8,11.5,7.3,24.9,1.6,0.8,12.9,23.7
Toumani Camara,PF,78,0.503,7.2,12.1,9.6,9.6,2.2,1.8,12.4,14.4
Pascal Siakam,PF,78,0.274,5.9,17.6,11.8,15.7,1.3,1.5,7.6,24.2
Brook Lopez,C,80,0.482,5,11.8,8.6,7.8,0.9,5.4,9.1,15.8
Karl-Anthony Towns,C,72,0.278,9.8,32,21,13.8,1.4,1.9,12.1,27.4
Bub Carrington,PG,82,0.544,1.4,13.1,7.2,21.2,1,0.8,15.2,15.8
Cade Cunningham,PG,70,0.287,2.5,16.5,9.6,43,1.4,2.1,16,33.2
Tyrese Haliburton,PG,73,0.559,1.9,9.7,5.9,38.9,2.1,1.8,9.8,21.6
Coby White,SG,74,0.521,1.1,10.4,5.8,19.5,1.3,0.6,12.4,24.4
LeBron James,SF,70,0.312,3.4,21.2,12.6,40.3,1.4,1.5,15.5,30.1
